1	44029322	44050422	TE_01_003900001
1	46339050	46342761	TE_01_003900002
1	150604057	150622843	TE_01_003900003
12	12714472	12735308	TE_01_003900004
11	113662885	113691666	TE_01_003900005
2	230650508	230667724	TE_01_003900006
11	46273567	46319374	TE_01_003900007
8	100949378	100954106	TE_01_003900008
17	63829111	63852985	TE_01_003900009
17	81857499	81869498	TE_01_003900010
20	34110052	34113357	TE_01_003900011
2	55223139	55234919	TE_01_003900012
17	43314673	43323958	TE_01_003900013
20	35739272	35744766	TE_01_003900014
9	35913151	35925441	TE_01_003900015
11	34044380	34054173	TE_01_003900016
17	38700928	38705261	TE_01_003900017
1	14419119	14443817	TE_01_003900018
10	68954851	68958324	TE_01_003900019
19	38311340	38322297	TE_01_003900020
19	49486308	49491290	TE_01_003900021
17	59695227	59708799	TE_01_003900022
21	43882036	43894389	TE_01_003900023
11	86052793	86070936	TE_01_003900024
11	123058763	123073598	TE_01_003900025
1	235326454	235331040	TE_01_003900026
10	24895888	24930596	TE_01_003900027
19	49927026	49930942	TE_01_003900028
19	56305623	56322890	TE_01_003900029
X	38800840	38817771	TE_01_003900030
7	5421263	5430351	TE_01_003900031
3	186929743	186956951	TE_01_003900032
X	152149659	152178578	TE_01_003900033
6	133953200	133973441	TE_01_003900034
19	13845737	13848491	TE_01_003900035
5	149439705	149457868	TE_01_003900036
14	81416188	81437163	TE_01_003900037
22	38503877	38514906	TE_01_003900038
19	55653542	55658070	TE_01_003900039
19	49761123	49776913	TE_01_003900040
1	1714407	1729440	TE_01_003900041
1	228081160	228089230	TE_01_003900042
11	76443008	76446287	TE_01_003900043
22	20979889	20984069	TE_01_003900044
15	64092261	64096922	TE_01_003900045
7	50346387	50362589	TE_01_003900046
22	36451194	36482167	TE_01_003900047
7	154672282	154682106	TE_01_003900048
17	8152509	8175194	TE_01_003900049
20	50129906	50166990	TE_01_003900050
10	68330652	68334022	TE_01_003900051
6	30767300	30794173	TE_01_003900052
11	75553743	75565850	TE_01_003900053
11	496769	519381	TE_01_003900054
2	167939532	167963409	TE_01_003900055
15	52005495	52022645	TE_01_003900056
2	96912083	96925066	TE_01_003900057
3	193836477	193854305	TE_01_003900058
6	31791448	31796317	TE_01_003900059
10	46017432	46034100	TE_01_003900060
2	112682283	112728701	TE_01_003900061
4	110192651	110199734	TE_01_003900062
1	27487926	27491041	TE_01_003900063
5	179697783	179701675	TE_01_003900064
X	154396856	154400485	TE_01_003900065
2	219501124	219527611	TE_01_003900066
4	38522694	38530485	TE_01_003900067
1	161186711	161203358	TE_01_003900068
X	154481929	154496475	TE_01_003900069
16	21510109	21538750	TE_01_003900070
10	17642968	17646768	TE_01_003900071
7	121070604	121084204	TE_01_003900072
6	24658130	24669548	TE_01_003900073
21	14736569	14764386	TE_01_003900074
7	32879300	32906884	TE_01_003900075
6	24774063	24776942	TE_01_003900076
10	22615577	22632883	TE_01_003900077
4	78774292	78786716	TE_01_003900078
1	32388378	32395971	TE_01_003900079
3	170726127	170731563	TE_01_003900080
7	158818149	158835759	TE_01_003900081
9	99057266	99077628	TE_01_003900082
1	182298831	182315849	TE_01_003900083
16	84137585	84140426	TE_01_003900084
6	26195011	26200699	TE_01_003900085
9	4852490	4866975	TE_01_003900086
17	82199927	82218999	TE_01_003900087
3	141803902	141807941	TE_01_003900088
2	74025941	74060498	TE_01_003900089
16	79863100	79871395	TE_01_003900090
5	10351081	10358492	TE_01_003900091
7	106976377	106988420	TE_01_003900092
1	162371615	162397392	TE_01_003900093
7	22646307	22683975	TE_01_003900094
1	180562023	180587127	TE_01_003900095
1	37688740	37693473	TE_01_003900096
1	165827460	165843257	TE_01_003900097
13	95268181	95298091	TE_01_003900098
17	16437993	16444394	TE_01_003900099
X	2451548	2476167	TE_01_003900100
2	111343545	111349336	TE_01_003900101
22	29265731	29270219	TE_01_003900102
1	6197263	6210023	TE_01_003900103
2	87601493	87607284	TE_01_003900104
15	68815428	68822387	TE_01_003900105
12	47808848	47836415	TE_01_003900106
17	36594467	36612555	TE_01_003900107
6	4010716	4023842	TE_01_003900108
17	51121003	51133925	TE_01_003900109
17	1716419	1719241	TE_01_003900110
7	128737553	128744336	TE_01_003900111
17	47257543	47292658	TE_01_003900112
1	223232357	223235383	TE_01_003900113
17	40816605	40830178	TE_01_003900114
3	101629147	101643895	TE_01_003900115
16	79969761	79973588	TE_01_003900116
12	57085640	57102960	TE_01_003900117
16	69711194	69728991	TE_01_003900118
1	180603222	180612923	TE_01_003900119
7	151056984	151063836	TE_01_003900120
2	65429952	65438703	TE_01_003900121
3	31529988	31534169	TE_01_003900122
2	218284152	218301662	TE_01_003900123
6	32151823	32156041	TE_01_003900124
7	101855033	101883574	TE_01_003900125
X	48573660	48576793	TE_01_003900126
15	34646111	34666847	TE_01_003900127
13	113205197	113221010	TE_01_003900128
19	58384814	58388504	TE_01_003900129
16	111957	114939	TE_01_003900130
15	101444822	101470278	TE_01_003900131
17	7684668	7688219	TE_01_003900132
8	58642867	58660841	TE_01_003900133
2	131485666	131495895	TE_01_003900134
15	84912038	84961369	TE_01_003900135
3	177193625	177199649	TE_01_003900136
12	56298859	56302644	TE_01_003900137
12	122398901	122406661	TE_01_003900138
15	89068105	89092458	TE_01_003900139
12	131224180	131243392	TE_01_003900140
1	152034297	152049102	TE_01_003900141
1	148037741	148039709	TE_01_003900142
1	145464606	145466573	TE_01_003900143
11	65132002	65136029	TE_01_003900144
12	46256324	46269492	TE_01_003900145
1	40054074	40061090	TE_01_003900146
19	555389	575615	TE_01_003900147
6	147194388	147208443	TE_01_003900148
6	104952756	104959935	TE_01_003900149
16	15874614	15898497	TE_01_003900150
1	204400835	204412735	TE_01_003900151
12	127145546	127163772	TE_01_003900152
2	55046639	55053053	TE_01_003900153
2	130178699	130189023	TE_01_003900154
10	42644378	42655512	TE_01_003900155
19	13838551	13843571	TE_01_003900156
1	9715923	9720400	TE_01_003900157
11	72099172	72104694	TE_01_003900158
7	66994021	66997628	TE_01_003900159
1	173863847	173869628	TE_01_003900160
17	77318754	77325799	TE_01_003900161
16	30657174	30660956	TE_01_003900162
12	93302364	93320219	TE_01_003900163
19	51507027	51510830	TE_01_003900164
6	26215188	26219351	TE_01_003900165
1	108272116	108274517	TE_01_003900166
1	108419862	108422261	TE_01_003900167
16	30367379	30382718	TE_01_003900168
1	67731030	67760450	TE_01_003900169
5	164335993	164361378	TE_01_003900170
11	36090214	36115884	TE_01_003900171
1	29179265	29183391	TE_01_003900172
1	154218141	154222531	TE_01_003900173
3	40452173	40460424	TE_01_003900174
16	29645361	29674627	TE_01_003900175
11	61331227	61335913	TE_01_003900176
19	46600043	46603754	TE_01_003900177
X	49145357	49149688	TE_01_003900178
17	62169196	62180397	TE_01_003900179
1	20784709	20788708	TE_01_003900180
10	75107734	75112426	TE_01_003900181
5	154753259	154761482	TE_01_003900182
17	28719076	28723796	TE_01_003900183
1	54396339	54412307	TE_01_003900184
16	67235770	67247543	TE_01_003900185
17	59828453	59843771	TE_01_003900186
6	33838745	33842010	TE_01_003900187
5	54735816	54746177	TE_01_003900188
15	75636969	75653123	TE_01_003900189
12	14256168	14261483	TE_01_003900190
19	10652821	10656734	TE_01_003900191
11	47376082	47404294	TE_01_003900192
5	149548925	149561999	TE_01_003900193
6	135306071	135326552	TE_01_003900194
12	54297586	54303031	TE_01_003900195
4	173331948	173336071	TE_01_003900196
3	12837741	12843116	TE_01_003900197
X	136878674	136911160	TE_01_003900198
17	76734279	76739170	TE_01_003900199
1	12525364	12553635	TE_01_003900200
12	130855173	130874791	TE_01_003900201
14	100755293	100773285	TE_01_003900202
8	124526129	124541228	TE_01_003900203
22	26481317	26501563	TE_01_003900204
2	168795973	168804866	TE_01_003900205
5	140214556	140224176	TE_01_003900206
21	31730240	31738705	TE_01_003900207
17	46189499	46195262	TE_01_003900208
7	139106791	139125102	TE_01_003900209
15	92870059	92884780	TE_01_003900210
1	243253065	243270288	TE_01_003900211
1	146024964	146053066	TE_01_003900212
16	2151309	2155690	TE_01_003900213
9	120400352	120405952	TE_01_003900214
1	62435238	62438791	TE_01_003900215
6	29964206	29977716	TE_01_003900216
22	19170538	19176564	TE_01_003900217
10	80186514	80206530	TE_01_003900218
8	2711737	2735254	TE_01_003900219
4	980615	997957	TE_01_003900220
2	69972503	69980267	TE_01_003900221
11	96317301	96339973	TE_01_003900222
5	43037226	43043608	TE_01_003900223
1	53324210	53328050	TE_01_003900224
2	121648098	121653143	TE_01_003900225
7	116952635	116956757	TE_01_003900226
19	55405461	55409249	TE_01_003900227
3	197952945	197962389	TE_01_003900228
17	41521555	41532645	TE_01_003900229
3	17730001	17743848	TE_01_003900230
11	8681538	8686274	TE_01_003900231
6	16214283	16241721	TE_01_003900232
21	44015773	44030325	TE_01_003900233
1	224430405	224436352	TE_01_003900234
5	150447705	150450468	TE_01_003900235
11	67262583	67289240	TE_01_003900236
10	45468617	45472499	TE_01_003900237
5	154834102	154859941	TE_01_003900238
20	49276844	49284289	TE_01_003900239
8	54013597	54024020	TE_01_003900240
3	171797832	171814835	TE_01_003900241
10	17196470	17231067	TE_01_003900242
7	135661087	135665086	TE_01_003900243
12	52992440	53008877	TE_01_003900244
12	120225372	120235595	TE_01_003900245
19	3361520	3389787	TE_01_003900246
21	43104463	43117386	TE_01_003900247
3	186782452	186786074	TE_01_003900248
9	121285606	121290332	TE_01_003900249
22	39517542	39523719	TE_01_003900250
2	43210333	43226537	TE_01_003900251
5	181206925	181224982	TE_01_003900252
1	201565896	201582990	TE_01_003900253
14	31028228	31061661	TE_01_003900254
19	54186652	54192703	TE_01_003900255
9	127934214	127942349	TE_01_003900256
12	124861636	124887527	TE_01_003900257
3	160446556	160452109	TE_01_003900258
20	4063823	4092050	TE_01_003900259
11	108218934	108224705	TE_01_003900260
6	20403688	20425268	TE_01_003900261
2	226834468	226840546	TE_01_003900262
14	49857316	49868926	TE_01_003900263
10	32948313	32981322	TE_01_003900264
6	4726473	4729493	TE_01_003900265
7	151079303	151084145	TE_01_003900266
1	52054168	52058024	TE_01_003900267
20	37376963	37385349	TE_01_003900268
16	29594913	29624780	TE_01_003900269
12	54413354	54439889	TE_01_003900270
2	217074980	217109245	TE_01_003900271
17	27446460	27492877	TE_01_003900272
15	90901162	90904656	TE_01_003900273
20	49763369	49792339	TE_01_003900274
5	178203675	178233417	TE_01_003900275
11	9362092	9365278	TE_01_003900276
7	13979910	14003919	TE_01_003900277
6	31826145	31830139	TE_01_003900278
3	194253811	194257755	TE_01_003900279
5	173753274	173783274	TE_01_003900280
17	28569120	28582078	TE_01_003900281
11	114214874	114220944	TE_01_003900282
6	41070996	41075674	TE_01_003900283
10	102104976	102119296	TE_01_003900284
11	73979698	73985092	TE_01_003900285
1	213044657	213057594	TE_01_003900286
11	18313851	18330157	TE_01_003900287
9	92291497	92296581	TE_01_003900288
2	112640067	112667369	TE_01_003900289
20	53737718	53764449	TE_01_003900290
2	238419912	238428298	TE_01_003900291
6	27470960	27479949	TE_01_003900292
6	28708856	28711587	TE_01_003900293
11	3255843	3264079	TE_01_003900294
15	66502545	66506008	TE_01_003900295
11	32420424	32435476	TE_01_003900296
16	31179542	31182890	TE_01_003900297
8	28886193	28893912	TE_01_003900298
6	37101924	37112986	TE_01_003900299
4	82371263	82374998	TE_01_003900300
2	61535842	61539648	TE_01_003900301
3	187743352	187747611	TE_01_003900302
20	31590653	31613329	TE_01_003900303
7	157397287	157406626	TE_01_003900304
8	21956894	21971439	TE_01_003900305
10	69085910	69091454	TE_01_003900306
10	80496920	80506329	TE_01_003900307
7	129065431	129068576	TE_01_003900308
6	41919673	41923388	TE_01_003900309
10	30418311	30438935	TE_01_003900310
1	32220621	32236831	TE_01_003900311
6	90457115	90479495	TE_01_003900312
16	29007737	29012150	TE_01_003900313
11	126344986	126354246	TE_01_003900314
11	309767	317080	TE_01_003900315
3	185811151	185825072	TE_01_003900316
6	20443827	20476976	TE_01_003900317
1	228367277	228372991	TE_01_003900318
6	41937493	41943063	TE_01_003900319
1	113927966	113931955	TE_01_003900320
1	109213189	109219072	TE_01_003900321
20	38030640	38035717	TE_01_003900322
3	12951408	12960004	TE_01_003900323
19	51365224	51369287	TE_01_003900324
7	108235121	108247442	TE_01_003900325
3	171956117	171977988	TE_01_003900326
16	3004555	3009028	TE_01_003900327
3	150726231	150739358	TE_01_003900328
12	104457079	104494766	TE_01_003900329
4	186829045	186846558	TE_01_003900330
1	205748190	205751743	TE_01_003900331
1	151309652	151314952	TE_01_003900332
19	17219938	17248497	TE_01_003900333
1	67428767	67432601	TE_01_003900334
2	61464451	61472825	TE_01_003900335
3	128546368	128554196	TE_01_003900336
15	42272432	42280128	TE_01_003900337
11	47263988	47278575	TE_01_003900338
7	123555803	123558612	TE_01_003900339
17	63419807	63437745	TE_01_003900340
1	149161271	149163889	TE_01_003900341
1	150998593	151013727	TE_01_003900342
2	26061217	26076425	TE_01_003900343
5	80246858	80258329	TE_01_003900344
8	90220930	90232060	TE_01_003900345
9	38037224	38049022	TE_01_003900346
22	26629919	26645543	TE_01_003900347
22	31602411	31631900	TE_01_003900348
12	57452274	57463022	TE_01_003900349
10	15439009	15452932	TE_01_003900350
6	42196402	42201031	TE_01_003900351
1	248904203	248915007	TE_01_003900352
1	202803313	202811731	TE_01_003900353
19	47330192	47352500	TE_01_003900354
12	6531837	6546614	TE_01_003900355
9	97631317	97635500	TE_01_003900356
13	27250771	27254233	TE_01_003900357
19	50802688	50805646	TE_01_003900358
7	106655752	106661175	TE_01_003900359
19	43609735	43625195	TE_01_003900360
7	155289896	155303718	TE_01_003900361
6	51049001	51060626	TE_01_003900362
1	117608069	117615371	TE_01_003900363
1	109818240	109825171	TE_01_003900364
1	207518237	207522690	TE_01_003900365
7	97116664	97131178	TE_01_003900366
19	47722736	47751805	TE_01_003900367
19	16561248	16589491	TE_01_003900368
14	20797113	20802635	TE_01_003900369
1	231335731	231340070	TE_01_003900370
7	149125105	149128962	TE_01_003900371
6	139372504	139377714	TE_01_003900372
15	45068798	45083032	TE_01_003900373
1	167547517	167552807	TE_01_003900374
3	152266354	152273553	TE_01_003900375
8	66661944	66680665	TE_01_003900376
1	155178887	155195191	TE_01_003900377
2	113886307	113895125	TE_01_003900378
1	8788504	8797260	TE_01_003900379
17	36721153	36729767	TE_01_003900380
1	145605429	145609567	TE_01_003900381
6	124960157	124966792	TE_01_003900382
6	15243913	15267353	TE_01_003900383
10	110207900	110223476	TE_01_003900384
1	43357835	43369247	TE_01_003900385
